time_tick,grv_X_value,grv_Y_value,grv_Z_value,Turn,Success
4.064363,-0.709015,-9.287814,-3.067745,1,0
4.099367,-0.723334,-9.282895,-3.07927,1,0
4.129365,-0.835665,-9.259101,-3.122173,1,0
4.164369,-0.783179,-9.263424,-3.122957,1,0
4.199373,-0.642201,-9.281568,-3.101182,1,0
4.229402,-0.516628,-9.300927,-3.066447,1,0
4.264406,-0.389656,-9.321997,-3.020892,1,0
4.299409,-0.28438,-9.339945,-2.976878,1,0
4.329408,-0.207323,-9.355849,-2.932976,1,0
4.364412,-0.139606,-9.377289,-2.867787,1,0
4.399415,-0.098713,-9.397853,-2.801402,1,0
4.429445,-0.07942,-9.417897,-2.73389,1,0
4.464448,-0.095049,-9.44064,-2.653775,1,0
4.499452,-0.10963,-9.457798,-2.591389,1,0
4.529451,-0.068711,-9.471192,-2.543431,1,0
4.564454,0.068679,-9.491509,-2.466534,1,0
4.599458,0.250901,-9.514404,-2.364407,1,0
4.629487,0.37623,-9.530439,-2.281762,1,0
4.664491,0.46578,-9.542051,-2.215751,1,0
4.699501,0.499764,-9.550812,-2.170132,1,0
4.7295,0.503746,-9.560711,-2.125156,1,0
4.764503,0.510284,-9.580629,-2.031848,1,0
4.799537,0.495984,-9.600679,-1.93861,1,0
4.829536,0.48841,-9.615336,-1.866551,1,0
4.86454,0.45219,-9.628433,-1.807222,1,0
4.899543,0.401396,-9.638103,-1.767227,1,0
4.929542,0.326058,-9.645761,-1.740753,1,0
4.964576,0.286461,-9.651475,-1.715869,1,0
4.99958,0.275235,-9.652225,-1.71349,1,0
5.029579,0.290688,-9.647776,-1.735845,1,0
5.064583,0.317768,-9.637947,-1.785009,1,0
5.099586,0.34659,-9.627616,-1.834701,1,0
5.129615,0.395953,-9.618853,-1.870331,1,0
5.164619,0.430134,-9.609624,-1.909803,1,0
5.199623,0.451994,-9.602193,-1.941863,1,0
5.229622,0.449822,-9.598639,-1.959859,1,0
5.264625,0.445001,-9.595868,-1.97447,1,0
5.299629,0.444357,-9.598273,-1.962894,1,0
5.329658,0.437384,-9.602889,-1.94177,1,0
5.364662,0.42654,-9.611019,-1.903581,1,0
5.399666,0.41889,-9.618906,-1.865052,1,0
5.429664,0.42856,-9.625661,-1.827629,1,0
5.464668,0.453545,-9.633556,-1.779366,1,0
5.499702,0.473935,-9.643892,-1.71697,1,0
5.529701,0.484821,-9.653555,-1.65864,1,0
5.564705,0.481601,-9.664643,-1.593731,1,0
5.599708,0.471104,-9.673174,-1.544347,1,0
5.629707,0.466116,-9.679096,-1.508338,1,0
5.664741,0.46922,-9.684455,-1.472557,1,0
5.694715,0.47094,-9.686221,-1.460336,1,0
5.729719,0.468087,-9.684444,-1.472987,1,0
5.764722,0.461297,-9.681854,-1.49203,1,0
5.794721,0.436,-9.680613,-1.50761,1,0
5.829725,0.41024,-9.678652,-1.527301,1,0
5.864759,0.397905,-9.675182,-1.552346,1,0
5.899763,0.403153,-9.671149,-1.575941,1,0
5.929761,0.421341,-9.667564,-1.59309,1,0
5.964765,0.446373,-9.663144,-1.612961,1,0
5.999769,0.454547,-9.660912,-1.62401,1,0
6.029798,0.473623,-9.66133,-1.616054,1,0
6.064802,0.479967,-9.662154,-1.609241,1,0
6.099805,0.493253,-9.66307,-1.599698,1,0
6.129804,0.504851,-9.664218,-1.589107,1,0
6.164808,0.523843,-9.664242,-1.582805,1,0
6.199811,0.554724,-9.665977,-1.561541,1,0
6.229841,0.589759,-9.667358,-1.540007,1,0
6.264844,0.630617,-9.671726,-1.495757,1,0
6.294843,0.651061,-9.677475,-1.449083,1,0
6.329847,0.66897,-9.681644,-1.412624,1,0
6.36485,0.694273,-9.683031,-1.390734,1,0
6.399885,0.724284,-9.684155,-1.36741,1,0
6.429883,0.748498,-9.684512,-1.35175,1,0
6.464887,0.774146,-9.683082,-1.347546,1,0
6.494886,0.788542,-9.67963,-1.363892,1,0
6.52989,0.787437,-9.676898,-1.383774,1,0
6.564924,0.770633,-9.676707,-1.394529,1,0
6.594923,0.75708,-9.675919,-1.407363,1,0
6.629926,0.733301,-9.67447,-1.429742,1,0
6.66493,0.682992,-9.671933,-1.471218,1,0
6.694929,0.630086,-9.667864,-1.520742,1,0
6.729963,0.552139,-9.66189,-1.587536,1,0
6.764966,0.473589,-9.654544,-1.656122,1,0
6.794965,0.39735,-9.646481,-1.721851,1,0
6.829969,0.306392,-9.632948,-1.813748,1,0
6.864973,0.211405,-9.616742,-1.910712,1,0
6.895002,0.123891,-9.600089,-2.000046,1,0
6.930006,0.023684,-9.578374,-2.105097,1,0
6.965009,-0.076929,-9.558682,-2.191561,1,0
7.000013,-0.175681,-9.539128,-2.269674,1,0
7.030012,-0.255138,-9.521349,-2.335825,1,0
7.065015,-0.338285,-9.504452,-2.393367,1,0
7.095045,-0.413161,-9.494533,-2.420826,1,0
7.130048,-0.495734,-9.48321,-2.449535,1,0
7.165052,-0.572054,-9.472892,-2.472716,1,0
7.195051,-0.629461,-9.468438,-2.475827,1,0
7.230054,-0.695126,-9.464632,-2.472809,1,0
7.265089,-0.753117,-9.461346,-2.468399,1,0
7.300092,-0.807359,-9.457687,-2.465276,1,0
7.330091,-0.857429,-9.454006,-2.462485,1,0
7.365095,-0.917232,-9.448935,-2.460397,1,0
7.395093,-0.968187,-9.442121,-2.467025,1,0
7.430097,-1.037582,-9.42912,-2.488448,1,0
7.465131,-1.118338,-9.416075,-2.502817,1,0
7.49513,-1.186093,-9.406343,-2.508215,1,0
7.530134,-1.254985,-9.399965,-2.498584,1,0
7.565137,-1.312504,-9.399398,-2.471012,1,0
7.595136,-1.336829,-9.402032,-2.447842,1,0
7.63017,-1.323338,-9.411952,-2.416855,1,0
7.665174,-1.227824,-9.431911,-2.389302,1,0
7.695161,-1.080881,-9.451461,-2.383031,1,0
7.730164,-0.744554,-9.482212,-2.389674,1,0
